handle,condition,week,feed_average_prop_in_network_posts
aeleis.bsky.social,reverse_chronological,7.0,0.5
aeleis.bsky.social,reverse_chronological,8.0,0.483
afraid.bsky.social,engagement,1.0,0.0
afraid.bsky.social,engagement,2.0,0.023
afraid.bsky.social,engagement,3.0,0.095
afraid.bsky.social,engagement,4.0,0.491
afraid.bsky.social,engagement,5.0,0.5
afraid.bsky.social,engagement,6.0,0.5
afraid.bsky.social,engagement,7.0,0.5
afraid.bsky.social,engagement,8.0,0.5
afronooch.bsky.social,reverse_chronological,1.0,0.199
afronooch.bsky.social,reverse_chronological,2.0,0.104
afronooch.bsky.social,reverse_chronological,3.0,0.492
afronooch.bsky.social,reverse_chronological,4.0,0.5
afronooch.bsky.social,reverse_chronological,5.0,0.5
afronooch.bsky.social,reverse_chronological,6.0,0.5
afronooch.bsky.social,reverse_chronological,7.0,0.455
afronooch.bsky.social,reverse_chronological,8.0,0.481
agado.bsky.social,engagement,1.0,0.106
agado.bsky.social,engagement,2.0,0.032
agado.bsky.social,engagement,3.0,0.18
agado.bsky.social,engagement,4.0,0.152
agado.bsky.social,engagement,5.0,0.165
agado.bsky.social,engagement,6.0,0.192
agado.bsky.social,engagement,7.0,0.156
agado.bsky.social,engagement,8.0,0.208
ahmadmusa.bsky.social,representative_diversification,1.0,0.0
ahmadmusa.bsky.social,representative_diversification,2.0,0.0
ahmadmusa.bsky.social,representative_diversification,3.0,0.024
ahmadmusa.bsky.social,representative_diversification,4.0,0.019
ahmadmusa.bsky.social,representative_diversification,5.0,0.025
ahmadmusa.bsky.social,representative_diversification,6.0,0.019
ahmadmusa.bsky.social,representative_diversification,7.0,0.009
ahmadmusa.bsky.social,representative_diversification,8.0,0.015
aidenuy.bsky.social,reverse_chronological,1.0,0.0
aidenuy.bsky.social,reverse_chronological,2.0,0.0
aidenuy.bsky.social,reverse_chronological,3.0,0.006
aidenuy.bsky.social,reverse_chronological,4.0,0.0
aidenuy.bsky.social,reverse_chronological,5.0,0.0
aidenuy.bsky.social,reverse_chronological,6.0,0.0
